"team","fpi"
"Colorado",-0.3494
"Wyoming",-0.3494
"Ball State",-0.3494
"Illinois",-0.3669
"Buffalo",-0.4456
"Eastern Michigan",-0.4806
"Troy",-0.4981
"Middle Tennessee",-0.5244
"Louisiana Tech",-0.5244
"East Carolina",-0.5419
"Tulane",-0.6118
"Utah State",-0.6118
"Duke",-0.6381
"Miami (OH)",-0.6468
"Central Michigan",-0.6643
"Northern Illinois",-0.6731
"Kent State",-0.7256
"South Alabama",-0.7781
"Georgia State",-0.8043
"San Jose State",-0.8131
"Hawai'i",-0.8568
"South Florida",-0.9093
"Charlotte",-1.0931
"Arizona",-1.1193
"Georgia Southern",-1.1456
"UTEP",-1.1631
"UNLV",-1.2243
"North Texas",-1.2418
"Texas State",-1.2505
"Arkansas State",-1.2593
"Navy",-1.3118
"Temple",-1.3555
"Ohio",-1.3905
"Vanderbilt",-1.4168
"Old Dominion",-1.4518
"Florida International",-1.478
"Bowling Green",-1.513
"Southern Mississippi",-1.5393
"Kansas",-1.6355
"Louisiana Monroe",-1.688
"New Mexico",-1.8805
"Rice",-1.898
"Akron",-2.0817
"UMass",-2.143
"New Mexico State",-2.2567
"Connecticut",-2.3792
>>>>>>> Stashed changes
