"team","tr"
"Georgia",2.6551
"Alabama",2.3407
"Ohio State",2.1127
"Cincinnati",1.759
"Michigan",1.704
"Oklahoma",1.6097
"Florida",1.3425
"Clemson",1.3425
"Penn State",1.3425
"Iowa",1.2875
"Pittsburgh",1.2717
"Ole Miss",1.256
"Auburn",1.2167
"Texas",1.2167
"Notre Dame",1.1381
"Iowa State",1.1381
"Texas A&M",1.0831
"Nebraska",0.9888
"Michigan State",0.9338
"Oregon",0.918
"NC State",0.8866
"Arkansas",0.8552
"Tennessee",0.8237
"Wake Forest",0.8237
"Baylor",0.8159
"Wisconsin",0.808
"Utah",0.7687
"Arizona State",0.7687
"Oklahoma State",0.7608
"LSU",0.753
"Coastal Carolina",0.7373
"Purdue",0.7373
"North Carolina",0.7294
"TCU",0.7137
"UCLA",0.698
"Miami",0.6901
"Kentucky",0.6822
"Virginia",0.6587
"Minnesota",0.6429
"USC",0.5408
"Houston",0.5408
"SMU",0.525
"Boise State",0.5172
"West Virginia",0.4936
"Liberty",0.4936
"Appalachian State",0.4386
"Kansas State",0.415
"Indiana",0.3993
"Mississippi State",0.3914
"Louisville",0.3836
"Oregon State",0.3757
"UCF",0.3443
"Washington",0.3285
"Virginia Tech",0.2892
"BYU",0.2735
"UAB",0.2657
"Boston College",0.2657
"Fresno State",0.2106
"UT San Antonio",0.2106
"Louisiana",0.2028
"Stanford",0.1949
"Army",0.1792
"Nevada",0.1713
"Air Force",0.1556
"Marshall",0.1478
"Maryland",0.1242
"Rutgers",0.1006
"Georgia Tech",0.0927
"Syracuse",0.0692
"Florida State",0.0299
"Texas Tech",0.0299
"Toledo",0.0063
"Western Michigan",-0.0016
"Florida Atlantic",-0.0252
"San Diego State",-0.0802
"Washington State",-0.1116
"California",-0.1195
"South Carolina",-0.1431
"East Carolina",-0.1824
"Western Kentucky",-0.1824
"Memphis",-0.2059
"Colorado",-0.2138
"Missouri",-0.2295
"Illinois",-0.2609
"Northwestern",-0.2924
"Ball State",-0.316
"Tulane",-0.4103
"Tulsa",-0.4103
"Buffalo",-0.4417
"Wyoming",-0.4574
"Colorado State",-0.4574
"Miami (OH)",-0.5046
"Troy",-0.5675
"Central Michigan",-0.5989
"Eastern Michigan",-0.6068
"Middle Tennessee",-0.6854
"Kent State",-0.7404
"South Alabama",-0.7483
"Louisiana Tech",-0.764
"Georgia State",-0.764
"San Jose State",-0.7718
"Northern Illinois",-0.7797
"Utah State",-0.7954
"Hawai'i",-0.8504
"South Florida",-0.8583
"Navy",-0.874
"Duke",-0.8897
"Charlotte",-1.0784
"Arizona",-1.1491
"Georgia Southern",-1.1491
"Ohio",-1.1884
"UTEP",-1.2041
"Old Dominion",-1.2434
"Temple",-1.2906
"Arkansas State",-1.3456
"Texas State",-1.3692
"North Texas",-1.3771
"Vanderbilt",-1.4321
"Bowling Green",-1.495
"UNLV",-1.5185
"Southern Mississippi",-1.5185
"Florida International",-1.6364
"Rice",-1.6836
"New Mexico",-1.7543
"Louisiana Monroe",-1.7779
"Akron",-1.8801
"Kansas",-1.9587
"New Mexico State",-2.2181
"UMass",-2.2416
"Connecticut",-2.3674
<<<<<<< Updated upstream
>>>>>>> Stashed changes
=======
>>>>>>> Stashed changes
