"team","pp","week"
"Louisiana",0.214169037995256,4
"Appalachian State",0.26357398506673,4
"Army",0.169553568542555,4
"Boston College",0.171348905899535,4
"SMU",0.153027740743112,4
"Michigan State",0.367235609910963,4
"Baylor",0.278393507905725,4
"Nevada",0.0175901789134339,4
"Wyoming",0.0714395899093517,4
"San Diego State",0.10379704216067,4
"Arizona State",0.254983465306013,4
"San Jose State",-0.0469859298642443,4
"LSU",0.428267878922789,4
"Virginia Tech",0.302691489818169,4
"Nebraska",0.202270787065413,4
"Stanford",0.17354628025693,4
"Memphis",0.175444432988866,4
"UAB",0.0992508187070683,4
"Virginia",0.215883428431336,4
"Purdue",0.175082282651822,4
"Indiana",0.265831986764139,4
"NC State",0.241399437885007,4
"UCF",0.273310228613916,4
"Texas Tech",0.202325357096074,4
"Florida Atlantic",-0.0108823253000117,4
"Mississippi State",0.239123709005032,4
"Boise State",0.220728063625586,4
"Miami",0.260275919797304,4
"Western Michigan",-0.049509954119108,4
"Houston",0.0318443304751304,4
"Oregon State",0.00625309701355554,4
"Pittsburgh",0.184231009852697,4
"Troy",-0.0189422937632461,4
"Marshall",0.0503239164845849,4
"Louisville",0.10360786691412,4
"Utah",0.259385544267257,4
"Kentucky",0.201935536079412,4
"Buffalo",-0.0486023284974203,4
"Washington",0.276583466521046,4
"Missouri",0.142842184868707,4
"Miami (OH)",-0.220894903451699,4
"Tulane",0.0265803398490389,4
"Colorado",-0.0675705589579657,4
"Ball State",-0.258243064275222,4
"Kent State",-0.197411852133771,4
"South Carolina",0.0103530690584851,4
"Air Force",-0.101056796939807,4
"Eastern Michigan",-0.309814671763704,4
"Toledo",-0.140943206432287,4
"Utah State",-0.214034744797145,4
"Central Michigan",-0.246233452613631,4
"California",-0.0942539547387753,4
"Syracuse",-0.127588359381691,4
"East Carolina",-0.217659407901544,4
"South Alabama",-0.384067131593212,4
"Tennessee",0.0784059823716902,4
"Georgia State",-0.345215827432152,4
"Georgia Tech",-0.114190946439561,4
"Illinois",-0.23245014049341,4
"Washington State",-0.228198464952745,4
"Northwestern",-0.0398271711483987,4
"Louisiana Tech",-0.300690075395561,4
"Charlotte",-0.486439860112057,4
"New Mexico",-0.559010129158793,4
"Tulsa",-0.0685836796730387,4
"Duke",-0.245817204871022,4
"Hawai'i",-0.42196183229315,4
"Middle Tennessee",-0.395041149562972,4
"Northern Illinois",-0.472824202763941,4
"Georgia Southern",-0.472462166887875,4
"UTEP",-0.701010932710939,4
"Western Kentucky",-0.232897456688384,4
"Arkansas State",-0.441042728149968,4
"Florida State",-0.21619884223198,4
"North Texas",-0.617305733368812,4
"Colorado State",-0.442712127105251,4
"Southern Mississippi",-0.539161487922907,4
"Texas State",-0.585423690590444,4
"Florida International",-0.658753465595958,4
"South Florida",-0.542871580139157,4
"Rice",-0.719033912622652,4
"Temple",-0.656726182051318,4
"Kansas",-0.67416406734599,4
"Ohio",-0.641755321866846,4
"Navy",-0.628847443537688,4
"Akron",-1.02917588429085,4
"Arizona",-0.582898499759517,4
"Vanderbilt",-0.612928387662879,4
"Bowling Green",-0.971830927916063,4
"Louisiana Monroe",-0.923108781735006,4
"UNLV",-0.884869523369131,4
"UMass",-1.10516874438226,4
"Old Dominion",-0.762261202315801,5
"New Mexico State",-1.1968204045782,5
"Connecticut",-1.14007231022679,5
"Georgia",1.11345287249598,5
"Alabama",1.1512401538029,5
"Oklahoma",0.798049146866497,5
"Iowa",0.674739945370269,5
"Michigan",0.708593701525065,5
